Name,Platform,Year_of_Release,Genre,Genre_factor,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,GS_Category
Halo 4,X360,2012,Shooter,6,Microsoft Game Studios,6.65,2.28,0.04,9.71,87,87,70,3260,343 Industries,M,high
Gran Turismo 2,PS,1999,Racing,1,Sony Computer Entertainment,3.88,3.42,1.69,9.49,93,23,90,135,Polyphony Digital,T,high
Just Dance 2,Wii,2010,Misc,3,Ubisoft,5.8,2.85,0.01,9.44,74,24,73,24,Ubisoft,E10+,high
Call of Duty: Ghosts,PS3,2013,Shooter,6,Activision,4.1,3.63,0.38,9.36,71,10,26,1047,Infinity Ward,M,high
Call of Duty 4: Modern Warfare,X360,2007,Shooter,6,Activision,5.93,2.36,0.13,9.31,94,70,84,1320,Infinity Ward,M,high
Animal Crossing: New Leaf,3DS,2012,Simulation,8,Nintendo,2.03,2.36,4.39,9.16,88,70,87,626,Nintendo,E,high
Mario Party DS,DS,2007,Misc,3,Nintendo,4.4,1.85,1.98,8.91,72,27,78,85,Hudson Soft,E,high
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,9,Bethesda Softworks,5.05,2.79,0.1,8.79,96,89,84,3589,Bethesda Game Studios,M,high
FIFA 16,PS4,2015,Sports,0,Electronic Arts,1.12,6.12,0.06,8.57,82,42,43,896,EA Sports,E,high
Halo 2,XB,2004,Shooter,6,Microsoft Game Studios,6.82,1.53,0.05,8.49,95,91,82,1218,Bungie Software,M,high
Wii Party,Wii,2010,Misc,3,Nintendo,1.75,3.47,2.49,8.38,68,42,74,54,Nd Cube,E,high
Mario Party 8,Wii,2007,Misc,3,Nintendo,3.74,2.24,1.58,8.27,62,41,63,190,Hudson,E,high
FIFA Soccer 13,PS3,2012,Action,4,Electronic Arts,1.06,5.01,0.13,8.16,88,37,66,348,Electronic Arts,E,high
Final Fantasy X,PS2,2001,Role-Playing,9,Sony Computer Entertainment,2.91,2.07,2.73,8.05,92,53,87,1056,SquareSoft,T,high
The Sims 3,PC,2009,Simulation,8,Electronic Arts,0.99,6.42,0,8.01,86,75,76,886,The Sims Studio,T,high
Final Fantasy VIII,PS,1999,Role-Playing,9,SquareSoft,2.28,1.72,3.63,7.86,90,24,86,644,SquareSoft,T,high
Pokémon Platinum Version,DS,2008,Role-Playing,9,Nintendo,2.76,1.72,2.69,7.72,83,46,85,203,Game Freak,E,high
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,4,Take-Two Interactive,2.9,2.81,0.24,7.69,88,65,76,451,Rockstar Leeds,M,high
Call of Duty: Advanced Warfare,PS4,2014,Shooter,6,Activision,2.81,3.48,0.14,7.66,83,39,57,1443,Sledgehammer Games,M,high
FIFA 17,PS4,2016,Sports,0,Electronic Arts,0.66,5.75,0.08,7.59,85,41,50,398,"EA Sports, EA Vancouver",E,high
Super Mario Galaxy 2,Wii,2010,Platform,2,Nintendo,3.56,2.35,0.98,7.51,97,87,91,1854,Nintendo EAD Tokyo,E,high
Call of Duty: World at War,X360,2008,Shooter,6,Activision,4.81,1.88,0,7.38,84,84,76,580,Treyarch,M,high
Battlefield 3,X360,2011,Shooter,6,Electronic Arts,4.46,2.11,0.06,7.32,84,57,74,2142,EA DICE,M,high
Need for Speed Underground,PS2,2003,Racing,1,Electronic Arts,3.27,2.83,0.08,7.2,85,33,86,171,EA Black Box,E,high
Just Dance,Wii,2009,Misc,3,Ubisoft,3.48,2.99,0,7.2,49,21,80,110,Ubisoft Paris,E10+,high
Battlefield 3,PS3,2011,Shooter,6,Electronic Arts,2.85,2.89,0.35,7.17,85,38,75,1761,EA DICE,M,high
Fallout 4,PS4,2015,Role-Playing,9,Bethesda Softworks,2.53,3.27,0.24,7.16,87,58,65,4228,Bethesda Game Studios,M,high
Tekken 3,PS,1998,Fighting,7,Sony Computer Entertainment,3.27,2.22,1.4,7.16,96,15,91,367,Namco,T,high
The Legend of Zelda: Twilight Princess,Wii,2006,Action,4,Nintendo,3.74,2.14,0.6,7.15,95,73,90,1658,Nintendo,T,high
Crash Bandicoot 3: Warped,PS,1998,Platform,2,Sony Computer Entertainment,3.68,1.75,1.42,7.13,91,12,89,432,Naughty Dog,E,high
Mario Kart 8,WiiU,2014,Racing,1,Nintendo,3.15,2.15,1.28,7.09,88,82,91,1599,Nintendo,E,high
Super Smash Bros. Melee,GC,2001,Fighting,7,Nintendo,4.41,1.04,1.39,7.07,92,38,91,568,HAL Labs,T,high
Need for Speed Underground 2,PS2,2004,Racing,1,Electronic Arts,2.71,3.02,0.08,6.9,82,39,86,132,EA Canada,E,high
Medal of Honor: Frontline,PS2,2002,Shooter,6,Electronic Arts,2.93,2.75,0.17,6.83,88,29,85,135,EA LA,T,high
Just Dance 4,Wii,2012,Misc,3,Ubisoft,4.05,2.16,0,6.76,74,10,73,28,Ubisoft,E10+,high
Gears of War 2,X360,2008,Shooter,6,Microsoft Game Studios,4.15,1.9,0.06,6.75,93,90,77,2739,Epic Games,M,high
Uncharted 3: Drake's Deception,PS3,2011,Action,4,Sony Computer Entertainment,2.77,2.75,0.19,6.74,92,97,83,3712,Naughty Dog,T,high
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,6,Activision,3.11,2.26,0.28,6.68,94,44,84,993,Infinity Ward,M,high
Uncharted 2: Among Thieves,PS3,2009,Action,4,Sony Computer Entertainment,3.27,2.2,0.21,6.66,96,105,88,5187,Naughty Dog,T,high
Big Brain Academy,DS,2005,Misc,3,Nintendo,1.66,2.75,1.6,6.62,74,45,74,27,Nintendo,E,high
Red Dead Redemption,PS3,2010,Action,4,Take-Two Interactive,2.79,2.53,0.17,6.49,95,73,88,2456,Rockstar San Diego,M,high
FIFA 14,PS3,2013,Sports,0,Electronic Arts,0.78,4.24,0.07,6.47,86,37,43,576,EA Canada,E,high
Assassin's Creed III,PS3,2012,Action,4,Ubisoft,2.64,2.52,0.16,6.45,85,41,69,1307,Ubisoft,M,high
Donkey Kong Country Returns,Wii,2010,Platform,2,Nintendo,3.17,1.79,1.03,6.44,87,77,86,368,Retro Studios,E,high
Halo: Combat Evolved,XB,2001,Shooter,6,Microsoft Game Studios,4.98,1.3,0.08,6.43,97,68,86,1283,Bungie Software,M,high
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,9,Bethesda Softworks,2.55,2.6,0.25,6.41,92,16,64,2527,Bethesda Game Studios,M,high
Pokémon Emerald Version,GBA,2004,Role-Playing,9,Nintendo,2.57,1.58,2.06,6.41,76,28,90,222,Game Freak,E,high
Kingdom Hearts,PS2,2002,Role-Playing,9,Sony Computer Entertainment,3.64,1.2,1.49,6.4,85,46,88,597,SquareSoft,E,high
Halo 3: ODST,X360,2009,Shooter,6,Microsoft Game Studios,4.34,1.34,0.06,6.34,83,94,71,1163,"Bungie Software, Bungie",M,high
Red Dead Redemption,X360,2010,Action,4,Take-Two Interactive,3.7,1.95,0.09,6.32,95,96,90,2316,Rockstar San Diego,M,high
Super Mario Sunshine,GC,2002,Platform,2,Nintendo,4.01,1.26,0.87,6.31,92,61,86,439,Nintendo,E,high
World of Warcraft,PC,2004,Role-Playing,9,Activision,0.08,6.21,0,6.29,93,57,73,2182,Blizzard Entertainment,T,high
Driver,PS,1999,Action,4,GT Interactive,3.11,2.8,0.02,6.27,87,22,81,78,Reflections Interactive,T,high
Gears of War 3,X360,2011,Shooter,6,Microsoft Game Studios,4.05,1.59,0.07,6.21,91,96,78,1504,Epic Games,M,high
Kinect Sports,X360,2010,Sports,0,Microsoft Game Studios,3.92,1.73,0.03,6.19,73,51,74,95,Rare Ltd.,E10+,high
Gears of War,X360,2006,Shooter,6,Microsoft Game Studios,3.54,1.88,0.07,6.09,94,88,83,2295,Epic Games,M,high
FIFA 15,PS4,2014,Sports,0,Electronic Arts,0.8,4.33,0.05,6.08,82,47,57,988,EA Sports,E,high
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,4,Konami Digital Entertainment,2.45,2.01,0.87,6.05,96,42,87,1026,KCEJ,M,high
Metal Gear Solid,PS,1998,Action,4,Konami Digital Entertainment,3.18,1.83,0.78,6.03,94,20,94,918,KCEJ,M,high
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,4,Konami Digital Entertainment,2.63,1.71,0.83,5.99,94,82,87,3558,Kojima Productions,M,high
Final Fantasy XII,PS2,2006,Role-Playing,9,Square Enix,1.88,0,2.33,5.95,92,64,76,972,Square Enix,T,high
The Last of Us,PS3,2013,Action,4,Sony Computer Entertainment Europe,2.41,2.18,0.28,5.87,95,98,91,8003,Naughty Dog,M,high
LittleBigPlanet,PS3,2008,Platform,2,Sony Computer Entertainment,2.8,1.98,0.17,5.82,95,85,68,5311,"SCE/WWS, Media Molecule",E,high
Resident Evil 2,PS,1998,Action,4,Virgin Interactive,1.88,1.47,2.02,5.82,89,13,92,364,Capcom,M,high
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,9,Nintendo,0.63,0.67,4.35,5.78,87,65,88,197,Level 5,E10+,high
Tekken 2,PS,1996,Fighting,7,Sony Computer Entertainment,2.26,1.89,1.36,5.74,89,8,89,102,Namco,T,high
Destiny,PS4,2014,Shooter,6,Activision,2.49,2.07,0.16,5.64,76,95,61,5380,"Bungie Software, Bungie",T,high
LEGO Star Wars: The Complete Saga,Wii,2007,Action,4,LucasArts,3.57,1.55,0,5.64,80,17,89,62,Traveller's Tales,E10+,high
Cooking Mama,DS,2006,Simulation,8,505 Games,3.07,1.91,0.07,5.63,67,35,72,21,Taito Corporation,E,high
Assassin's Creed II,PS3,2009,Action,4,Ubisoft,2.54,1.93,0.21,5.55,91,70,86,1202,Ubisoft Montreal,M,high
Assassin's Creed,X360,2007,Adventure,10,Ubisoft,3.28,1.64,0.07,5.54,81,77,77,1074,Ubisoft Montreal,M,high
Forza Motorsport 3,X360,2009,Racing,1,Microsoft Game Studios,2.99,1.9,0.1,5.49,92,90,80,516,Turn 10,E,high
Super Mario Advance,GBA,2001,Platform,2,Nintendo,3.14,1.24,0.91,5.49,84,19,78,41,Nintendo,E,high
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,9,Capcom,0.47,0.55,4.13,5.48,81,48,87,124,Capcom,T,high
Batman: Arkham City,PS3,2011,Action,4,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,5.48,96,42,86,2162,Rocksteady Studios,T,high
Grand Theft Auto V,XOne,2014,Action,4,Take-Two Interactive,2.81,2.19,0,5.48,97,14,79,764,Rockstar North,M,high
Mario Kart: Super Circuit,GBA,2001,Racing,1,Nintendo,2.62,1.64,0.99,5.47,93,24,83,108,Intelligent Systems,E,high
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2,Universal Interactive,2.07,2.29,0.24,5.42,66,22,71,156,Traveller's Tales,E,high
Call of Duty: World at War,PS3,2008,Shooter,6,Activision,2.73,1.83,0,5.39,85,45,76,409,Treyarch,M,high
Uncharted 4: A Thief's End,PS4,2016,Shooter,6,Sony Computer Entertainment,1.85,2.5,0.19,5.38,93,113,79,7064,Naughty Dog,T,high
Final Fantasy XIII,PS3,2009,Role-Playing,9,Square Enix,1.74,1.21,1.87,5.33,83,83,73,2483,Square Enix,T,high
Final Fantasy IX,PS,2000,Role-Playing,9,SquareSoft,1.62,0.77,2.78,5.3,94,22,89,779,SquareSoft,T,high
Assassin's Creed III,X360,2012,Action,4,Ubisoft,3.13,1.69,0.03,5.29,84,61,67,1196,Ubisoft,M,high
Final Fantasy X-2,PS2,2003,Role-Playing,9,Electronic Arts,1.92,1.08,2.11,5.29,85,45,66,400,SquareSoft,T,high
Call of Duty: Advanced Warfare,XOne,2014,Shooter,6,Activision,3.22,1.55,0.01,5.27,81,53,54,898,Sledgehammer Games,M,high
Assassin's Creed II,X360,2009,Action,4,Ubisoft,3.11,1.55,0.08,5.26,90,82,88,1305,Ubisoft Montreal,M,high
New Super Mario Bros. U,WiiU,2012,Platform,2,Nintendo,2.3,1.34,1.27,5.22,84,70,81,733,Nintendo,E,high
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,9,Square Enix,0.65,0.75,3.61,5.21,89,63,88,245,Level 5,T,high
Professor Layton and the Curious Village,DS,2007,Puzzle,5,Nintendo,1.21,2.43,1.03,5.19,85,72,86,147,Level 5,E,high
FIFA Soccer 13,X360,2012,Action,4,Electronic Arts,1.09,3.47,0.03,5.16,90,48,61,403,Electronic Arts,E,high
Diablo III,PC,2012,Role-Playing,9,Activision,2.44,2.16,0,5.14,88,86,40,9629,Blizzard Entertainment,M,high
Medal of Honor: Rising Sun,PS2,2003,Shooter,6,Electronic Arts,1.98,2.23,0.13,5.13,68,30,76,100,EA LA,T,high
Guitar Hero II,PS2,2006,Misc,3,RedOctane,3.81,0.63,0,5.12,92,69,85,112,Harmonix Music Systems,T,high
Fable III,X360,2010,Role-Playing,9,Microsoft Game Studios,3.59,1.08,0.05,5.1,80,88,65,604,Lionhead Studios,M,high
Resident Evil 5,PS3,2009,Action,4,Capcom,1.96,1.41,1.08,5.09,84,76,75,667,Capcom,M,high
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,4,Nintendo,1.85,1.8,0.95,5.08,90,57,80,416,Nintendo,E,high
FIFA Soccer 11,PS3,2010,Sports,0,Electronic Arts,0.61,3.28,0.06,5.07,89,51,80,233,EA Sports,E,high
Resident Evil,PS,1996,Action,4,Virgin Interactive,2.05,1.16,1.11,5.05,91,8,90,266,Capcom,M,high
Grand Theft Auto: Vice City Stories,PSP,2006,Action,4,Take-Two Interactive,1.7,1.99,0.16,5.03,86,50,80,150,Rockstar Leeds,M,high
Tony Hawk's Pro Skater,PS,1999,Sports,0,Activision,3.42,1.38,0.02,5.02,92,18,92,69,Neversoft Entertainment,T,high
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3,Activision,3.49,0.01,0.01,4.98,82,24,82,46,"Neversoft Entertainment, BudCat",T,high
Link's Crossbow Training,Wii,2007,Shooter,6,Nintendo,3.05,1.17,0.29,4.98,68,34,71,47,Nintendo,T,high
Fallout 3,X360,2008,Role-Playing,9,Bethesda Softworks,3.4,0.99,0.09,4.93,93,84,85,1655,Bethesda Game Studios,M,high
Uncharted: Drake's Fortune,PS3,2007,Action,4,Sony Computer Entertainment,2.31,1.72,0.12,4.92,88,66,81,2306,"Naughty Dog, SCE/WWS",T,high
Madden NFL 06,PS2,2005,Sports,0,Electronic Arts,3.98,0.26,0.01,4.91,88,29,80,121,EA Sports,E,high
StarCraft II: Wings of Liberty,PC,2010,Strategy,11,Activision,2.57,1.68,0,4.84,93,82,82,3052,Blizzard Entertainment,T,high
Assassin's Creed,PS3,2007,Adventure,10,Ubisoft,1.91,2,0.09,4.82,81,40,73,769,Ubisoft Montreal,M,high
God of War III,PS3,2010,Action,4,Sony Computer Entertainment,2.74,1.33,0.12,4.8,92,101,87,2633,SCE Santa Monica,M,high
Crash Team Racing,PS,1999,Racing,1,Sony Computer Entertainment,2.57,1.57,0.44,4.79,88,20,90,233,Naughty Dog,E,high
LEGO Star Wars: The Complete Saga,DS,2007,Action,4,LucasArts,2.83,1.48,0,4.76,80,9,54,46,TT Fusion,E,high
Driver 2,PS,2000,Action,4,Atari,2.36,2.1,0.02,4.73,62,14,77,92,Reflections Interactive,T,high
Batman: Arkham City,X360,2011,Action,4,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,4.73,94,87,87,1472,Rocksteady Studios,T,high
Tony Hawk's Pro Skater 2,PS,2000,Sports,0,Activision,3.05,1.41,0.02,4.68,98,19,77,299,Neversoft Entertainment,T,high
The Lord of the Rings: The Two Towers,PS2,2002,Action,4,Electronic Arts,1.94,1.95,0.08,4.67,82,32,82,78,Stormfront Studios,T,high
Tomb Raider,PS,1996,Action,4,Eidos Interactive,2.29,1.97,0.13,4.63,91,13,86,147,Core Design Ltd.,T,high
Animal Crossing: City Folk,Wii,2008,Simulation,8,Nintendo,1.82,1.12,1.32,4.62,73,50,76,119,Nintendo,E,high
Uncharted: The Nathan Drake Collection,PS4,2015,Action,4,Sony Computer Entertainment,2.07,1.71,0.08,4.62,86,78,81,1264,Bluepoint Games,T,high
The Legend of Zelda: The Wind Waker,GC,2002,Action,4,Nintendo,2.6,0.99,0.89,4.6,96,80,89,968,Nintendo,E,high
Guitar Hero III: Legends of Rock,Wii,2007,Misc,3,Activision,3.04,1.11,0,4.6,86,36,84,87,Vicarious Visions,T,high
Luigi's Mansion: Dark Moon,3DS,2013,Action,4,Nintendo,1.8,1.39,1.11,4.59,86,74,84,458,Next Level Games,E,high
Forza Motorsport 4,X360,2011,Racing,1,Microsoft Game Studios,2.08,1.97,0.06,4.57,91,83,82,617,Turn 10,E,high
Madden NFL 2005,PS2,2004,Sports,0,Electronic Arts,4.18,0.26,0.01,4.53,91,30,79,78,EA Tiburon,E,high
Guitar Hero III: Legends of Rock,X360,2007,Misc,3,Activision,3.19,0.91,0.01,4.53,85,69,79,165,Neversoft Entertainment,T,high
Madden NFL 07,PS2,2006,Sports,0,Electronic Arts,3.63,0.24,0.01,4.49,84,29,82,39,EA Sports,E,high
Halo 5: Guardians,XOne,2015,Shooter,6,Microsoft Game Studios,2.78,1.27,0.03,4.48,84,101,64,2438,343 Industries,T,high
Spider-Man: The Movie,PS2,2002,Action,4,Activision,2.71,1.51,0.03,4.48,76,25,79,41,Treyarch,E,high
Call of Duty: Infinite Warfare,PS4,2016,Shooter,6,Activision,1.61,2,0.15,4.46,77,82,34,1129,Infinity Ward,M,high
God of War,PS2,2005,Action,4,Sony Computer Entertainment,2.71,1.29,0.02,4.45,94,75,89,997,SCE Santa Monica,M,high
Splatoon,WiiU,2015,Shooter,6,Nintendo,1.54,1.18,1.46,4.43,81,88,85,1184,Nintendo,E10+,high
Nintendo Land,WiiU,2012,Misc,3,Nintendo,2.52,1.11,0.46,4.42,77,61,79,471,Nintendo,E10+,high
Tony Hawk's Pro Skater 3,PS2,2001,Sports,0,Activision,2.66,1.29,0.01,4.41,97,34,75,298,Neversoft Entertainment,T,high
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,0,Konami Digital Entertainment,0.1,2.39,1.05,4.39,86,19,89,33,Konami,E,high
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,9,Take-Two Interactive,2.82,1.03,0.13,4.38,94,90,87,1109,Bethesda Softworks,M,high
Need for Speed: Most Wanted,PS2,2005,Racing,1,Electronic Arts,2.03,1.79,0.08,4.37,82,36,91,137,EA Canada,T,high
Michael Jackson: The Experience,Wii,2010,Misc,3,Ubisoft,2.64,1.33,0.01,4.36,56,37,83,31,"Ubisoft Paris, Ubisoft Montpellier",E10+,high
Resistance: Fall of Man,PS3,2006,Shooter,6,Sony Computer Entertainment,1.74,1.72,0.14,4.34,86,70,81,715,Insomniac Games,M,high
Kingdom Hearts II,PS2,2005,Role-Playing,9,Square Enix,2.2,0.58,1.38,4.33,87,64,90,766,Square Enix,E10+,high
Super Mario 3D World,WiiU,2013,Platform,2,Nintendo,2.11,1.16,0.73,4.32,93,83,90,1607,Nintendo,E,high
Fable II,X360,2008,Role-Playing,9,Microsoft Game Studios,2.51,1.24,0.11,4.27,89,95,65,2423,Lionhead Studios,M,high
Namco Museum,GBA,2001,Misc,3,Namco Bandai Games,3,1.11,0.05,4.24,79,10,73,6,Mass Media,E,high
Batman: Arkham Asylum,PS3,2009,Action,4,Eidos Interactive,2.24,1.31,0.07,4.23,91,70,89,1122,Rocksteady Studios,T,high
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,4,Konami Digital Entertainment,1.46,0,0.83,4.23,91,68,93,955,KCEJ,M,high
Assassin's Creed: Revelations,PS3,2011,Action,4,Ubisoft,1.41,2.01,0.1,4.22,80,39,75,613,Ubisoft Montreal,M,high
Fallout 4,XOne,2015,Role-Playing,9,Bethesda Softworks,2.51,1.32,0.01,4.22,88,39,62,1749,Bethesda Game Studios,M,high
FIFA 14,X360,2013,Sports,0,Electronic Arts,0.92,2.89,0.01,4.22,84,41,42,435,EA Canada,E,high
Daxter,PSP,2006,Platform,2,Sony Computer Entertainment,2.45,1.01,0,4.21,85,59,87,109,Ready at Dawn,E10+,high
FIFA Soccer 06,PS2,2005,Sports,0,Electronic Arts,0.78,2.55,0.04,4.21,80,32,78,47,EA Canada,E,high
EyeToy Play,PS2,2003,Misc,3,Sony Computer Entertainment,0.88,2.3,0.2,4.2,80,32,75,22,"SCEE, Zoe Mode",E,high
Gran Turismo 5 Prologue,PS3,2007,Racing,1,Sony Computer Entertainment,1.28,1.82,0.57,4.19,80,67,71,120,Polyphony Digital,E,high
Assassin's Creed: Revelations,X360,2011,Action,4,Ubisoft,2.25,1.47,0.04,4.19,80,77,72,564,Ubisoft Montreal,M,high
Street Fighter IV,PS3,2009,Fighting,7,Capcom,2.03,1.04,0.58,4.16,94,61,73,330,Capcom,T,high
Madden NFL 2003,PS2,2002,Sports,0,Electronic Arts,3.36,0.21,0.01,4.14,95,25,77,65,EA Sports,E,high
Half-Life,PC,1997,Shooter,6,Vivendi Games,4.03,0,0.09,4.12,96,24,91,3161,Valve Software,M,high
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,9,Activision,2.57,1.52,0,4.09,91,46,79,785,Blizzard Entertainment,T,high
Battlefield 1,PS4,2016,Shooter,6,Electronic Arts,1.1,2.15,0.21,4.08,88,31,84,809,EA DICE,M,high
God of War II,PS2,2007,Action,4,Sony Computer Entertainment,2.32,0.04,0.04,4.07,93,70,89,709,SCE Santa Monica,M,high
Fallout: New Vegas,X360,2010,Role-Playing,9,Bethesda Softworks,2.66,1.03,0.04,4.05,84,81,81,769,Obsidian Entertainment,M,high
